# ALPHA = 0.05
# NUMBER_OF_TESTS = 17009

# _SET1_  VARIABLE = GOCC_NEURON_TO_NEURON_SYNAPSE (set)
# _SET1_  NGENES = 360
# _SET1_  P-VALUE = 1.67685e-06
_SET1_   GENE              CHR      START       STOP  NSNPS  NPARAM      N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE

# _SET2_  VARIABLE = GOCC_POSTSYNAPTIC_SPECIALIZATION (set)
# _SET2_  NGENES = 342
# _SET2_  P-VALUE = 9.7814e-08
_SET2_   GENE              CHR      START       STOP  NSNPS  NPARAM      N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET2_   ENSG00000187961     1     895967     901095     32       6  44823     -0.95992      0.80661    1.3323e-15     -0.95992
_SET2_   ENSG00000107404     1    1270656    1284730     44       9  63530       1.2247        0.101    1.3323e-15       1.2247
_SET2_   ENSG00000067606     1    1981909    2116834    478      34  63960       1.5355     0.043221    1.3323e-15       1.5355
_SET2_   ENSG00000171603     1    9789084    9884584    145      18  67904     -0.50063        0.664    1.3323e-15     -0.50063
_SET2_   ENSG00000077549     1   19665267   19812066    547      23  70905    -0.088834      0.43632    1.3739e-15    -0.088834
_SET2_   ENSG00000162545     1   20808884   20812713      4       2  74219     0.094095       0.4596    1.3739e-15     0.094095
_SET2_   ENSG00000189410     1   21046225   21059330     38      10  71860       1.3571     0.078825    1.3323e-15       1.3571
_SET2_   ENSG00000116329     1   29138654   29190208    180      21  69046      0.27511      0.34805    1.3878e-15      0.27511
_SET2_   ENSG00000116544     1   35331037   35395186    112      31  70768      0.88711       0.1841    1.3323e-15      0.88711
_SET2_   ENSG00000163873     1   37261128   37499730    572      60  67335     -0.48994      0.65745    1.3878e-15     -0.48994
_SET2_   ENSG00000196517     1   44457172   44497139     89      20  66433     -0.33324      0.61655    1.3878e-15     -0.33324
_SET2_   ENSG00000157193     1   53711217   53793742    198      31  71191       1.9127     0.023838    1.3323e-15       1.9127
_SET2_   ENSG00000116675     1   65713902   65881552    493      34  71345      -0.1733      0.49971    1.3878e-15      -0.1733
_SET2_   ENSG00000184588     1   66258197   66840259   1600      80  68051       1.0182      0.08898    1.3323e-15       1.0182
_SET2_   ENSG00000033122     1   70034081   70617628   1738      74  69901       4.4976   5.2094e-07    1.7764e-15       4.4976
_SET2_   ENSG00000117600     1   99729509   99775146    126      19  71618      0.11986      0.42119    1.3739e-15      0.11986
_SET2_   ENSG00000171385     1  112313284  112531777    697      85  71374       2.2963     0.010048    1.3323e-15       2.2963
_SET2_   ENSG00000163399     1  116915290  116952883     67       6  70709     -0.13684      0.51422    1.3878e-15     -0.13684
_SET2_   ENSG00000177954     1  153963235  153964626      3       2  74219      0.62777      0.28473    1.3323e-15      0.62777
_SET2_   ENSG00000160716     1  154540257  154552502     21       8  72750      0.44565      0.31799    1.3878e-15      0.44565
_SET2_   ENSG00000160753     1  155290687  155300905      5       3  62461       1.5289     0.063496    1.3323e-15       1.5289
_SET2_   ENSG00000132718     1  155829300  155854990     38       9  73407       1.8403     0.028659    1.3323e-15       1.8403
_SET2_   ENSG00000197959     1  171810621  172387606   1464      66  71062      0.49068      0.20334    1.3878e-15      0.49068
_SET2_   ENSG00000163485     1  203059782  203136533    176      26  71831       1.0821      0.12363    1.3323e-15       1.0821
_SET2_   ENSG00000143473     1  210856555  211307457   1590      83  68571     -0.16706      0.44316    1.3878e-15     -0.16706
_SET2_   ENSG00000170385     1  211744910  211752084     12       3  74219       -1.404      0.90902    1.3323e-15       -1.404
_SET2_   ENSG00000143761     1  228270361  228286912     26       7  73032       0.8486      0.18328    1.3323e-15       0.8486
_SET2_   ENSG00000135766     1  231499497  231560790    316       8  64858     -0.34437      0.52587    1.3878e-15     -0.34437
_SET2_   ENSG00000162946     1  231762561  232177018   1236     115  69466     -0.51039      0.66261    1.3323e-15     -0.51039
_SET2_   ENSG00000138101     2   25600067   25896503    509      45  66635      -1.4142      0.89944    1.3323e-15      -1.4142
_SET2_   ENSG00000115808     2   37070783   37193615    350      21  71779    -0.006528      0.43511    1.3774e-15    -0.006528
_SET2_   ENSG00000115904     2   39208537   39351486    307      12  66923       -1.015      0.79121    1.3323e-15       -1.015
_SET2_   ENSG00000183023     2   40324410   40838193   2039     110  69577     -0.14865      0.42683    1.3878e-15     -0.14865
_SET2_   ENSG00000119878     2   46843555   46852881     24       6  73576     -0.14074      0.52636    1.3878e-15     -0.14074
_SET2_   ENSG00000115306     2   54683422   54896812    699      28  70595       1.7741     0.020467    1.3323e-15       1.7741
_SET2_   ENSG00000115310     2   55199325   55339757    457      34  69725       2.1746    0.0098301    1.3323e-15       2.1746
_SET2_   ENSG00000119866     2   60678302   60780702    180      36  69218      -1.0537      0.84596    1.3323e-15      -1.0537
_SET2_   ENSG00000169564     2   70314585   70316332      2       1  74219       1.2999     0.097703    1.3323e-15       1.2999
_SET2_   ENSG00000075340     2   70834750   70995357    689      38  70838       1.3944     0.052855    1.3323e-15       1.3944
_SET2_   ENSG00000135622     2   74881355   74909186     33       8  67093      -0.3288      0.60559    1.3878e-15      -0.3288
_SET2_   ENSG00000162951     2   80515483   80531874     29       8  74219    -0.092437      0.51094    1.3739e-15    -0.092437
_SET2_   ENSG00000168758     2   97525453   97536494      8       3  72291      0.72288      0.21889    1.3323e-15      0.72288
_SET2_   ENSG00000040933     2   99061317   99210853    229      13  72030     -0.18046      0.49987    1.3878e-15     -0.18046
_SET2_   ENSG00000071051     2  106361354  106510730    569      30  71620       -2.868      0.99599    1.3323e-15       -2.868
_SET2_   ENSG00000144283     2  159313476  159539391    697      25  71384       1.8192     0.017637    1.3323e-15       1.8192
_SET2_   ENSG00000115183     2  159825146  160089170    885      54  69252     -0.85565      0.74008    1.3323e-15     -0.85565
_SET2_   ENSG00000138435     2  175612320  175629200     49       7  69420      0.46227      0.28335    1.3878e-15      0.46227
_SET2_   ENSG00000170144     2  178077291  178088686     11       3  74219      -1.2508      0.88155    1.3323e-15      -1.2508
_SET2_   ENSG00000003393     2  202565277  202645912    270      19  70667      -1.1108      0.82986    1.3323e-15      -1.1108
_SET2_   ENSG00000204217     2  203241659  203432474    371      24  69033       1.2135     0.082957    1.3323e-15       1.2135
_SET2_   ENSG00000178568     2  212240446  213403565   4604     200  68916     0.071043      0.33252    1.3739e-15     0.071043
_SET2_   ENSG00000116106     2  222282747  222438922    431      37  69252      0.55305      0.24321    1.3323e-15      0.55305
_SET2_   ENSG00000135902     2  233390703  233401377     31       7  70426       0.2625       0.3641    1.3878e-15       0.2625
_SET2_   ENSG00000150995     3    4535032    4889524   1318     148  70285      0.47742      0.31259    1.3878e-15      0.47742
_SET2_   ENSG00000156959     3    9543481    9595486    201      19  71112      0.54948      0.24949    1.3323e-15      0.54948
_SET2_   ENSG00000134072     3    9799026    9811676     22       8  70845     0.085262      0.44862    1.3739e-15     0.085262
_SET2_   ENSG00000157087     3   10365707   10749716   1528     121  70490     -0.47317      0.62722    1.3878e-15     -0.47317
_SET2_   ENSG00000144711     3   12938719   13114617    545      73  71046      0.64269      0.25195    1.3323e-15      0.64269
_SET2_   ENSG00000172936     3   38179969   38184513      3       2  74219       1.2656     0.099284    1.3323e-15       1.2656
_SET2_   ENSG00000188846     3   40498783   40503861     16       6  53918       1.1655      0.11059    1.3323e-15       1.1655
_SET2_   ENSG00000168036     3   41236328   41301587    102      12  70581     -0.34192      0.58745    1.3878e-15     -0.34192
_SET2_   ENSG00000164061     3   49591922   49708978    175      17  72010       2.1744     0.010629    1.3323e-15       2.1744
_SET2_   ENSG00000177707     3  110788918  110994410    485      48  71687      -2.2448       0.9843    1.3323e-15      -2.2448
_SET2_   ENSG00000151577     3  113847499  113918254    227      30  68576    -0.090629      0.50708    1.3739e-15    -0.090629
_SET2_   ENSG00000172020     3  115342171  115440337    281      47  69077      -0.8371      0.78884    1.3323e-15      -0.8371
_SET2_   ENSG00000144847     3  118619404  118864915    729      45  68638     -0.68212      0.68515    1.3323e-15     -0.68212
_SET2_   ENSG00000114030     3  122140796  122233792    226      23  70893      -1.7075      0.94399    1.3323e-15      -1.7075
_SET2_   ENSG00000160145     3  123798870  124445172   2134      94  69986      -1.1012      0.75064    1.3323e-15      -1.1012
_SET2_   ENSG00000144868     3  132757235  133116636   1214      51  71309      -1.6684      0.90999    1.3323e-15      -1.6684
_SET2_   ENSG00000158258     3  139654027  140296239   2026     144  69884     0.042621      0.39851    1.3739e-15     0.042621
_SET2_   ENSG00000169860     3  152552736  152555841      6       2  74219      0.49474      0.29577    1.3878e-15      0.49474
_SET2_   ENSG00000121871     3  164904508  164914897     23       6  66550      -0.8384      0.77837    1.3323e-15      -0.8384
_SET2_   ENSG00000154310     3  170779128  171178197   1142     118  69532      0.99787      0.14702    1.3323e-15      0.99787
_SET2_   ENSG00000169760     3  173114074  174004434   2615     137  69962       2.6809    0.0011404    1.3323e-15       2.6809
_SET2_   ENSG00000114416     3  180585929  180700541    230      21  66957       2.2921    0.0077005    1.3323e-15       2.2921
_SET2_   ENSG00000174013     3  196295482  196315930     56      12  70794     -0.62243      0.70873    1.3323e-15     -0.62243
_SET2_   ENSG00000180370     3  196466728  196559518    419      35  67463    -0.027727      0.45219    1.3774e-15    -0.027727
_SET2_   ENSG00000075711     3  196769431  197026171    686      27  70905       1.5635     0.033254    1.3323e-15       1.5635
_SET2_   ENSG00000087274     4    2845584    2931803    167      22  67108       2.0871      0.01443    1.3323e-15       2.0871
_SET2_   ENSG00000184985     4    7194265    7744554   3421     271  66951     -0.24659      0.46458    1.3878e-15     -0.24659
_SET2_   ENSG00000174343     4   40337346   40357234    113      11  70961      0.75128      0.18803    1.3323e-15      0.75128
_SET2_   ENSG00000151834     4   46250444   46477247    536      27  70295      -2.8384      0.99553    1.3323e-15      -2.8384
_SET2_   ENSG00000109158     4   46920917   46996424    246      22  72221      0.33082      0.32098    1.3878e-15      0.33082
_SET2_   ENSG00000163288     4   46995740   47428461   1151      70  69782       -1.056      0.79454    1.3323e-15       -1.056
_SET2_   ENSG00000138668     4   83273651   83295656     57       7  67760     -0.26487      0.55631    1.3878e-15     -0.26487
_SET2_   ENSG00000152208     4   93225550   94695707   4059     122  69495     0.024276      0.31963    1.3774e-15     0.024276
_SET2_   ENSG00000163110     4   95373037   95589377    575      28  65077      -1.1838      0.82669    1.3323e-15      -1.1838
_SET2_   ENSG00000109738     4  157997209  158093242    338      22  71795      0.14161      0.38511    1.3878e-15      0.14161
_SET2_   ENSG00000120251     4  158125334  158287227    291      23  70648      0.12327      0.39625    1.3739e-15      0.12327
_SET2_   ENSG00000169862     5   10971952   11904155   2878     205  68344     0.013367       0.3642    1.3774e-15     0.013367
_SET2_   ENSG00000040731     5   24487209   24645087    633      32  69742     -0.39431       0.5634    1.3878e-15     -0.39431
_SET2_   ENSG00000113360     5   31400604   31532303    348      27  68912     -0.81683      0.74686    1.3323e-15     -0.81683
_SET2_   ENSG00000186479     5   63802084   63908139    226      30  73153     -0.32704      0.59698    1.3878e-15     -0.32704
_SET2_   ENSG00000131711     5   71403061   71505395    223      46  70126      0.22601      0.40738    1.3878e-15      0.22601
_SET2_   ENSG00000152413     5   78668459   78810040    355      26  65417     -0.47941      0.62273    1.3878e-15     -0.47941
_SET2_   ENSG00000198961     5  108670410  108745695    299      16  66386     -0.20443      0.50547    1.3878e-15     -0.20443
_SET2_   ENSG00000152377     5  136310987  136934068   1837      98  70219     -0.86201      0.70507    1.3323e-15     -0.86201
_SET2_   ENSG00000146006     5  138204612  138211057      7       2  74219       2.4635    0.0054841    1.3323e-15       2.4635
_SET2_   ENSG00000070808     5  149599054  149669854    152      27  70903     -0.55249      0.68916    1.3323e-15     -0.55249
_SET2_   ENSG00000164587     5  149822753  149829319     30       4  72259       1.1398      0.10419    1.3323e-15       1.1398
_SET2_   ENSG00000171992     5  149980642  150038782    136      19  69740      0.91167      0.16045    1.3323e-15      0.91167
_SET2_   ENSG00000155511     5  152869175  153193429   1325      66  70574        2.181    0.0065505    1.3323e-15        2.181
_SET2_   ENSG00000145864     5  160715436  160976050    652      37  72445     -0.12152      0.47006    1.3739e-15     -0.12152
_SET2_   ENSG00000113327     5  161494546  161582542    177      29  69797        1.459     0.064267    1.3323e-15        1.459
_SET2_   ENSG00000204767     5  169291268  169407744    321      49  72378   -0.0083406      0.48823    1.3774e-15   -0.0083406
_SET2_   ENSG00000113742     5  173315283  173388979    188      19  72706     -0.15694      0.51455    1.3878e-15     -0.15694
_SET2_   ENSG00000169220     5  176784838  176799602     24       7  67391       1.8976     0.024552    1.3323e-15       1.8976
_SET2_   ENSG00000131188     5  176873446  176883283     20       6  71134       2.7635    0.0023253    1.3323e-15       2.7635
_SET2_   ENSG00000047579     6   15523032   15663289    335      21  71080    -0.051561      0.45304    1.3739e-15    -0.051561
_SET2_   ENSG00000112186     6   17393447   17558023    467      47  67495     -0.92618      0.79194    1.3323e-15     -0.92618
_SET2_   ENSG00000204314     6   32116136   32122150      9       4  54622      0.74291      0.20928    1.3323e-15      0.74291
_SET2_   ENSG00000231500     6   33239787   33244287     19       5  68030     -0.92751      0.80244    1.3323e-15     -0.92751
_SET2_   ENSG00000197283     6   33387847   33421466     61      17  69400      0.49428      0.29796    1.3878e-15      0.49428
_SET2_   ENSG00000156564     6   40359325   40555204    831      52  70560       2.0996     0.010544    1.3323e-15       2.0996
_SET2_   ENSG00000135298     6   69345259   70099403   2250      73  70185      0.77033     0.096044    1.3323e-15      0.77033
_SET2_   ENSG00000135333     6   93949738   94129265    464      55  72459     0.026312      0.46316    1.3774e-15     0.026312
_SET2_   ENSG00000164418     6  101846664  102517958   2255     122  70119      -1.2898      0.82673    1.3323e-15      -1.2898
_SET2_   ENSG00000010810     6  111981535  112194655    616      34  71155      0.52742      0.23282    1.3323e-15      0.52742
_SET2_   ENSG00000047932     6  117639374  117923691   1011      47  71327      -1.1701       0.8138    1.3323e-15      -1.1701
_SET2_   ENSG00000152822     6  146348782  146758734    833      42  70825       1.3191      0.05936    1.3323e-15       1.3191
_SET2_   ENSG00000185345     6  161768452  163148803   5540     260  69178      -1.2568      0.81472    1.3323e-15      -1.2568
_SET2_   ENSG00000164850     7    1121844    1133451     50      12  64812       1.8947     0.024403    1.3323e-15       1.8947
_SET2_   ENSG00000215045     7    6537093    6591067    178      36  69995       1.0773      0.13486    1.3323e-15       1.0773
_SET2_   ENSG00000164742     7   45613739   45762715    465      55  68824      0.46506       0.2968    1.3878e-15      0.46506
_SET2_   ENSG00000106089     7   73113536   73134002     43      12  65298       1.7635     0.033872    1.3323e-15       1.7635
_SET2_   ENSG00000187391     7   77646393   79082890   5765     267  70293      0.62317      0.16369    1.3323e-15      0.62317
_SET2_   ENSG00000186472     7   82383329   82792246   1264      47  70144       1.1513     0.065023    1.3323e-15       1.1513
_SET2_   ENSG00000198822     7   86273230   86494200    468      37  69083      0.55496      0.24024    1.3323e-15      0.55496
_SET2_   ENSG00000008277     7   87563458   87832204    528      25  69350     -0.71501      0.68422    1.3323e-15     -0.71501
_SET2_   ENSG00000127914     7   91570181   91739987    322       8  69819      0.94946      0.10989    1.3323e-15      0.94946
_SET2_   ENSG00000158528     7   94536514   94925727    755      32  69278      0.63965      0.18037    1.3323e-15      0.63965
_SET2_   ENSG00000091129     7  107788068  108097161   1153      49  71410    -0.096892      0.41457    1.3739e-15    -0.096892
_SET2_   ENSG00000184408     7  119913722  120390385   1007      42  71075       0.5777      0.19572    1.3323e-15       0.5777
_SET2_   ENSG00000128594     7  127667124  127672160     10       5  74219       2.1249     0.015493    1.3323e-15       2.1249
_SET2_   ENSG00000157680     7  137065783  137531838   1036      75  63134       1.5515     0.041503    1.3323e-15       1.5515
_SET2_   ENSG00000164885     7  150750899  150755617     11       4  74219     -0.69088      0.73593    1.3323e-15     -0.69088
_SET2_   ENSG00000106615     7  151163098  151217206    103      12  69175       1.6752     0.035887    1.3323e-15       1.6752
_SET2_   ENSG00000157219     7  154862034  154877459     60       9  65866     -0.92808      0.79194    1.3323e-15     -0.92808
_SET2_   ENSG00000198010     8    1449532    1656642   1046      50  63253     -0.45682      0.56411    1.3878e-15     -0.45682
_SET2_   ENSG00000104219     8   17013538   17082308    226      34  70112       0.7267      0.21539    1.3323e-15       0.7267
_SET2_   ENSG00000156011     8   18384811   18942240   3064     151  69317     -0.54894      0.57704    1.3323e-15     -0.54894
_SET2_   ENSG00000061337     8   20103676   20161474    235      45  70520       0.3904      0.34025    1.3878e-15       0.3904
_SET2_   ENSG00000158856     8   21906506   21940038    134      15  68148     -0.71735      0.73147    1.3323e-15     -0.71735
_SET2_   ENSG00000120899     8   27168999   27316903    426      25  71932        1.314     0.065536    1.3323e-15        1.314
_SET2_   ENSG00000254087     8   56792372   56923940    482      35  69610     -0.68249      0.69736    1.3323e-15     -0.68249
_SET2_   ENSG00000137575     8   59465483   59495419     58       6  69050       0.8251      0.16653    1.3323e-15       0.8251
_SET2_   ENSG00000147604     8   74202506   74208024     14       6  74219        1.277     0.094495    1.3323e-15        1.277
_SET2_   ENSG00000164687     8   82192598   82197012      3       1  74219      0.12593      0.42759    1.3878e-15      0.12593
_SET2_   ENSG00000156482     8   99037079   99058697     65      12  67131    -0.067656       0.4918    1.3739e-15    -0.067656
_SET2_   ENSG00000164929     8  104152938  104242533    322      36  71154      0.29736      0.34766    1.3878e-15      0.29736
_SET2_   ENSG00000104408     8  109213445  109447562    780      25  71130     -0.62825      0.62313    1.3323e-15     -0.62825
_SET2_   ENSG00000155897     8  131792547  132054672    961      56  70707    -0.088893       0.4441    1.3739e-15    -0.088893
_SET2_   ENSG00000181790     8  143530791  143626370    250      44  63193      0.64134       0.2489    1.3323e-15      0.64134
_SET2_   ENSG00000198576     8  143692405  143696833     16       3  69580     -0.81061      0.75608    1.3323e-15     -0.81061
_SET2_   ENSG00000180900     8  144873090  144897549     73      16  69941      0.32135      0.35392    1.3878e-15      0.32135
_SET2_   ENSG00000179526     8  145153536  145163027     15       3  74219    -0.026587      0.48253    1.3774e-15    -0.026587
_SET2_   ENSG00000161016     8  146015150  146017972      6       3  71648       1.3018     0.088572    1.3323e-15       1.3018
_SET2_   ENSG00000107186     9   13105703   13279589    270      27  71299     -0.69438      0.71886    1.3323e-15     -0.69438
_SET2_   ENSG00000147955     9   34634719   34637806      7       3  74219       1.0804      0.13077    1.3323e-15       1.0804
_SET2_   ENSG00000107362     9   74477368   74525847     44       9  69443     -0.72398      0.74451    1.3323e-15     -0.72398
_SET2_   ENSG00000148053     9   87283466   87638505   1001      69  70498     -0.22509      0.51646    1.3878e-15     -0.22509
_SET2_   ENSG00000196730     9   90112143   90323548    821      74  70738      0.59661      0.23756    1.3323e-15      0.59661
_SET2_   ENSG00000185920     9   98205262   98279339    177      20  67809       2.0918     0.013977    1.3323e-15       2.0918
_SET2_   ENSG00000198785     9  104331635  104500862    696      28  71165     -0.94966      0.75126    1.3323e-15     -0.94966
_SET2_   ENSG00000197958     9  130209953  130213684      7       1  74219   -0.0085245      0.45136    1.3774e-15   -0.0085245
_SET2_   ENSG00000107130     9  132934857  132999583    259      31  70170    -0.097494      0.50283    1.3739e-15    -0.097494
_SET2_   ENSG00000165699     9  135766735  135820020    113      16  72112     -0.97375       0.8126    1.3323e-15     -0.97375
_SET2_   ENSG00000176884     9  140032842  140063207     62      14  61145     -0.58072      0.69148    1.3323e-15     -0.58072
_SET2_   ENSG00000165802     9  140342022  140353786     19       9  61030     -0.46993      0.66678    1.3878e-15     -0.46993
_SET2_   ENSG00000077943    10   15555948   15762124    639      44  70573     -0.27484      0.53986    1.3878e-15     -0.27484
_SET2_   ENSG00000136754    10   27035522   27150016    375      20  71777      -0.5387      0.63297    1.3323e-15      -0.5387
_SET2_   ENSG00000198739    10   68685764   68859588    496      44  70002     -0.72018      0.72133    1.3323e-15     -0.72018
_SET2_   ENSG00000151208    10   79550549   79686378    410      18  71678       -1.573      0.91081    1.3323e-15       -1.573
_SET2_   ENSG00000182771    10   87359312   88126250   2473     141  70421     -0.71874      0.64802    1.3323e-15     -0.71874
_SET2_   ENSG00000171862    10   89622870   89731687    142      31  71300      0.77667      0.21508    1.3323e-15      0.77667
_SET2_   ENSG00000107864    10   93806449   94050844    361      19  69541      0.48847      0.24359    1.3878e-15      0.48847
_SET2_   ENSG00000059915    10  104162376  104181296     24       9  71769     -0.66709      0.73399    1.3323e-15     -0.66709
_SET2_   ENSG00000107954    10  105253736  105352309    278      33  70669       3.7767   5.4222e-05    1.3323e-15       3.7767
_SET2_   ENSG00000156395    10  106400859  107024993   1938      50  70859       3.4293   3.6422e-05    1.3323e-15       3.4293
_SET2_   ENSG00000148700    10  111756126  111895323    209      24  70594      0.29603      0.35043    1.3878e-15      0.29603
_SET2_   ENSG00000150594    10  112836790  112840658      6       3  74219     -0.52372      0.69109    1.3323e-15     -0.52372
_SET2_   ENSG00000107581    10  120794356  120840316     73      10  68370     -0.95352      0.80087    1.3323e-15     -0.95352
_SET2_   ENSG00000188916    10  128933694  128994422    133      16  68871       2.3607    0.0067506    1.3323e-15       2.3607
_SET2_   ENSG00000176171    10  133781578  133795435     31       7  73721       2.4405    0.0059623    1.3323e-15       2.4405
_SET2_   ENSG00000197177    10  134884433  134945179    330      44  61797      0.61871      0.24451    1.3323e-15      0.61871
_SET2_   ENSG00000129749    11    3686817    3692614     24       5  69320     -0.88168      0.78276    1.3323e-15     -0.88168
_SET2_   ENSG00000110700    11   17095936   17099334      7       3  72015      -1.5986      0.93772    1.3323e-15      -1.5986
_SET2_   ENSG00000148943    11   27516123   27528320     17       4  63844     -0.91599      0.79179    1.3323e-15     -0.91599
_SET2_   ENSG00000148948    11   40135753   41481323   3929     188  70669     -0.18728      0.43316    1.3878e-15     -0.18728
_SET2_   ENSG00000134569    11   46878419   46940193    128      15  66824       2.3748    0.0065656    1.3323e-15       2.3748
_SET2_   ENSG00000165917    11   47459308   47470730     36       6  70953        1.555     0.048281    1.3323e-15        1.555
_SET2_   ENSG00000156599    11   57435219   57468659     56      11  70243       2.5401    0.0043265    1.3323e-15       2.5401
_SET2_   ENSG00000198561    11   57520715   57587018     93      14  68332       2.3665    0.0067865    1.3323e-15       2.3665
_SET2_   ENSG00000134780    11   61447905   61514473    138      20  71397     -0.12853      0.51596    1.3878e-15     -0.12853
_SET2_   ENSG00000162188    11   62475130   62476673      2       1  66506     0.095111      0.47792    1.3739e-15     0.095111
_SET2_   ENSG00000168539    11   62676151   62689279     32      10  69098       0.8442      0.19046    1.3323e-15       0.8442
_SET2_   ENSG00000133318    11   63448918   63527363    108      14  66258      0.97587      0.14172    1.3323e-15      0.97587
_SET2_   ENSG00000174871    11   66045661   66052772      9       5  70791      -2.2783      0.98781    1.3323e-15      -2.2783
_SET2_   ENSG00000173621    11   66624118   66627946      2       1  74219       1.8096     0.031676    1.3323e-15       1.8096
_SET2_   ENSG00000162105    11   70313961   70963623   2025     140  68951      -1.5824       0.9123    1.3323e-15      -1.5824
_SET2_   ENSG00000149273    11   75110530   75133324     42      10  61253     -0.65485      0.71622    1.3323e-15     -0.65485
_SET2_   ENSG00000150672    11   83166055   85338966   6540     189  70285        1.338     0.043288    1.3323e-15        1.338
_SET2_   ENSG00000168959    11   88237744   88799113   1869      45  70606      -1.8784      0.90986    1.3323e-15      -1.8784
_SET2_   ENSG00000087053    11   95566046   95658479    253      19  71518      0.71532      0.19281    1.3323e-15      0.71532
_SET2_   ENSG00000152578    11  105480721  105852819    830      40  66716       1.2967     0.059102    1.3323e-15       1.2967
_SET2_   ENSG00000109846    11  111779289  111794446     22       6  69443     -0.75317      0.75042    1.3323e-15     -0.75317
_SET2_   ENSG00000149295    11  113280318  113346413    182      25  72842       2.8843    0.0015017    1.3323e-15       2.8843
_SET2_   ENSG00000182985    11  115039938  115375675    624      48  70456      0.43772      0.27641    1.3878e-15      0.43772
_SET2_   ENSG00000118181    11  118886422  118889401     14       2  65820      0.07316      0.41903    1.3739e-15      0.07316
_SET2_   ENSG00000149403    11  120382468  120859613   1494     142  71066      0.32193      0.34834    1.3878e-15      0.32193
_SET2_   ENSG00000109971    11  122928197  122933938     32       8  71418     -0.28723      0.59258    1.3878e-15     -0.28723
_SET2_   ENSG00000154146    11  124609742  124617106     12       3  74219        2.677    0.0028856    1.3323e-15        2.677
_SET2_   ENSG00000134909    11  128834955  129149219    824      27  69672       1.3548     0.047376    1.3323e-15       1.3548
_SET2_   ENSG00000080854    11  133778459  133826880    148      26  67655      -0.0342      0.48559    1.3739e-15      -0.0342
_SET2_   ENSG00000120645    12     175931     287626    452      61  67641     -0.55205      0.69249    1.3323e-15     -0.55205
_SET2_   ENSG00000151067    12    2079952    2802108   2239     180  68435     -0.35017       0.5356    1.3878e-15     -0.35017
_SET2_   ENSG00000215021    12    7074490    7079988      7       3  72015      0.30033      0.37256    1.3878e-15      0.30033
_SET2_   ENSG00000139182    12    7282294    7311541     58       9  71926      -1.9097      0.96529    1.3323e-15      -1.9097
_SET2_   ENSG00000273079    12   13693165   14133053   1466      94  72051      0.16667      0.34644    1.3878e-15      0.16667
_SET2_   ENSG00000151490    12   15475331   15750333    707      60  66942       1.3192     0.072616    1.3323e-15       1.3192
_SET2_   ENSG00000151491    12   15773092   16035263    266      41  68697     -0.45352      0.66418    1.3878e-15     -0.45352
_SET2_   ENSG00000052126    12   19282648   19529334    667      35  71872       1.3106     0.064965    1.3323e-15       1.3106
_SET2_   ENSG00000161835    12   52400724   52409673     20      10  67568       1.0425       0.1429    1.3323e-15       1.0425
_SET2_   ENSG00000197111    12   53835525   53874946     43      12  68032     -0.53633       0.6843    1.3323e-15     -0.53633
_SET2_   ENSG00000155974    12   66741211   67197966   1597     102  69761      -1.0309      0.78354    1.3323e-15      -1.0309
_SET2_   ENSG00000111052    12   81186299   81331704    434      28  71867     -0.42809      0.59958    1.3878e-15     -0.42809
_SET2_   ENSG00000185046    12   99120235  100378432   3394     180  69799     -0.01339      0.36736    1.3774e-15     -0.01339
_SET2_   ENSG00000089009    12  112842994  112856642     17       7  56927    -0.053452      0.50197    1.3739e-15    -0.053452
_SET2_   ENSG00000089250    12  117645947  117889975    731      61  70050       1.9316     0.019176    1.3323e-15       1.9316
_SET2_   ENSG00000089157    12  120634489  120639038      8       4  72291      -1.5504      0.93528    1.3323e-15      -1.5504
_SET2_   ENSG00000022840    12  120971283  121015397    146      18  68264     -0.76159      0.74295    1.3323e-15     -0.76159
_SET2_   ENSG00000157782    12  121078355  121105127     98      19  66705      0.26411      0.36845    1.3878e-15      0.26411
_SET2_   ENSG00000135124    12  121647660  121671909    107      14  70346     -0.69672      0.72342    1.3323e-15     -0.69672
_SET2_   ENSG00000130787    12  123319000  123347507    101      10  66499       0.4541      0.28308    1.3878e-15       0.4541
_SET2_   ENSG00000133083    13   36345478   36705443   1208      99  71251       0.5794      0.23688    1.3323e-15       0.5794
_SET2_   ENSG00000178235    13   84451344   84456528      7       3  65820       1.4187     0.072615    1.3323e-15       1.4187
_SET2_   ENSG00000125266    13  107142079  107187462    108      22  69301     -0.19052      0.55251    1.3878e-15     -0.19052
_SET2_   ENSG00000165379    14   42076773   42373752   1104      39  68424       2.0454    0.0084077    1.3323e-15       2.0454
_SET2_   ENSG00000139970    14   60062694   60337684    577      26  70633       1.1036     0.088863    1.3323e-15       1.1036
_SET2_   ENSG00000179841    14   64932217   64941221     11       4  67472      -1.0067      0.82652    1.3323e-15      -1.0067
_SET2_   ENSG00000171723    14   66974125   67648520   2295      19  71323      -1.7045      0.82857    1.3323e-15      -1.7045
_SET2_   ENSG00000100678    14   70510934   70655787    601      38  71640      -1.5264      0.90994    1.3323e-15      -1.5264
_SET2_   ENSG00000197555    14   71787166   72207946    624      36  69630       1.0443      0.10612    1.3323e-15       1.0443
